sample,fastq_1,fastq_2,condition,treatment,batch,Collection_Interval_Days,TRSS
SRX7172547,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172547_SRR10482848_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172547_SRR10482848_2.fastq.gz,tolerant,Control,2017.0,26.0,resistant
SRX7172552,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172552_SRR10482843_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172552_SRR10482843_2.fastq.gz,tolerant,Injected,2017.0,26.0,resistant
SRX7172556,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172556_SRR10482839_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172556_SRR10482839_2.fastq.gz,tolerant,Injected,2017.0,26.0,resistant
SRX7172558,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172558_SRR10482837_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172558_SRR10482837_2.fastq.gz,sensitive,Injected,2017.0,26.0,susceptible
SRX7172561,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172561_SRR10482834_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172561_SRR10482834_2.fastq.gz,sensitive,Control,2015.0,26.0,susceptible
SRX7172565,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172565_SRR10482830_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172565_SRR10482830_2.fastq.gz,tolerant,Injected,2015.0,26.0,resistant
SRX7172569,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172569_SRR10482826_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172569_SRR10482826_2.fastq.gz,tolerant,Injected,2015.0,26.0,resistant
SRX7172573,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172573_SRR10482822_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172573_SRR10482822_2.fastq.gz,sensitive,Control,2017.0,26.0,susceptible
SRX7172574,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172574_SRR10482821_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172574_SRR10482821_2.fastq.gz,tolerant,Injected,2015.0,26.0,resistant
SRX7172576,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172576_SRR10482819_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172576_SRR10482819_2.fastq.gz,tolerant,Control,2015.0,26.0,resistant
SRX7172578,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172578_SRR10482817_1.fastq.gz,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7172578_SRR10482817_2.fastq.gz,tolerant,Control,2015.0,26.0,resistant
