Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,identified_by,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,temp,tissue
SRR8856660,RNA-Seq,200,3536769113,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2413554232,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644329,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os29,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:57:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856661,RNA-Seq,200,2631984856,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1805545256,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644328,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os30,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:57:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856662,RNA-Seq,200,2466825422,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1688199819,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644327,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os25,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:55:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856663,RNA-Seq,200,2294727651,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1571037845,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644326,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os26,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:56:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856664,RNA-Seq,200,2448106559,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1671209840,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644325,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os27,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:55:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856665,RNA-Seq,200,2660726362,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1817182034,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644324,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os28,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:56:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856666,RNA-Seq,200,2248849294,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1737750465,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644323,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os21,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:32:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856667,RNA-Seq,200,1845063155,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1422805769,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644322,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os22,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:25:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856668,RNA-Seq,200,1924605420,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1487224863,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644321,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os23,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:25:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856669,RNA-Seq,200,2307349433,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1579072791,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644320,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os24,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-04T16:55:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856670,RNA-Seq,200,2108604347,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1626355179,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644319,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os10,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:29:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856671,RNA-Seq,200,2974841551,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2286240168,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644318,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os9,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:56:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856672,RNA-Seq,200,3195425279,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2445156507,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644317,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os4,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:56:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856673,RNA-Seq,200,2802440299,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2154897147,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644316,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os3,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:43:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856674,RNA-Seq,200,2170166158,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1667159787,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644315,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os2,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:27:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856675,RNA-Seq,200,1861934818,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1428916402,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644314,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os1,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:25:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856676,RNA-Seq,200,3673151146,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2825907473,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644313,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os8,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T16:01:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856677,RNA-Seq,201,2575360876,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1963702989,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644312,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os7,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:43:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856678,RNA-Seq,200,3116682508,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2384623906,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644311,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os6,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:50:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856679,RNA-Seq,200,2887784945,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2215619534,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644310,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os5,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:46:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856680,RNA-Seq,200,4039753137,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,3135129845,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644309,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os20,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T16:20:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856681,RNA-Seq,200,2487032727,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1924968072,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644308,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os19,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:35:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856682,RNA-Seq,200,1513853388,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1160833187,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644307,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os12,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:10:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856683,RNA-Seq,200,2678189224,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2061041582,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644306,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os11,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:45:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856684,RNA-Seq,200,1604482965,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,1241603097,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644305,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os14,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T15:11:00Z,1,RACcg,SRP190910,26 to 34,gills
SRR8856685,RNA-Seq,200,3125616847,PRJNA516210,SAMN11031730,Invertebrate,C. gigas breeding program,2399128582,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE,2013-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5644304,Mexico,North America,Mexico,San Ignacio Lagoon,Roberto Carlos Arredondo,Illumina HiSeq 2000,Os13,PAIRED,cDNA,TRANSCRIPTOMIC,Crassostrea gigas,ILLUMINA,2020-02-28T00:00:00Z,2019-04-05T17:38:00Z,1,RACcg,SRP190910,26 to 34,gills
