Run,AGE,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR13430600,1 year,RNA-Seq,250,1743826000,2017,PRJNA691949,SAMN17309756,Invertebrate,ABC_VIMS_Family_2014_286,685779931,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845509,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC60,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 5,2021-01-13T19:14:00Z,1,DC60,SRP301630,mantle,Injected
SRR13430601,1 year,RNA-Seq,250,2113967000,2017,PRJNA691949,SAMN17309755,Invertebrate,ABC_VIMS_Family_2014_286,808877004,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845508,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC58,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:13:00Z,1,DC58,SRP301630,mantle,Injected
SRR13430602,1 year,RNA-Seq,250,2160693000,2017,PRJNA691949,SAMN17309754,Invertebrate,ABC_VIMS_Family_2014_286,818734417,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845507,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC56,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:13:00Z,1,DC56,SRP301630,mantle,Injected
SRR13430603,1 year,RNA-Seq,250,2351473750,2017,PRJNA691949,SAMN17309753,Invertebrate,ABC_VIMS_Family_2014_286,912014096,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845506,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC48,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:14:00Z,1,DC48,SRP301630,mantle,Injected
SRR13430604,1 year,RNA-Seq,250,2356340000,2017,PRJNA691949,SAMN17309752,Invertebrate,ABC_VIMS_Family_2014_286,938356858,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845505,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC47,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:14:00Z,1,DC47,SRP301630,mantle,Injected
SRR13430605,1 year,RNA-Seq,250,1905252000,2017,PRJNA691949,SAMN17309751,Invertebrate,ABC_VIMS_Family_2014_286,737248857,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845504,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC45,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:13:00Z,1,DC45,SRP301630,mantle,Injected
SRR13430606,1 year,RNA-Seq,250,2057548250,2017,PRJNA691949,SAMN17309750,Invertebrate,ABC_VIMS_Family_2014_286,822723847,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845503,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC40,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:13:00Z,1,DC40,SRP301630,mantle,Injected
SRR13430607,1 year,RNA-Seq,250,1787527000,2017,PRJNA691949,SAMN17309749,Invertebrate,ABC_VIMS_Family_2014_286,728140547,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845502,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC33,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:12:00Z,1,DC33,SRP301630,mantle,Injected
SRR13430608,1 year,RNA-Seq,250,2184680750,2017,PRJNA691949,SAMN17309740,Invertebrate,ABC_VIMS_Family_2014_286,886956484,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845501,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC162,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:13:00Z,1,DC162,SRP301630,mantle,Control
SRR13430609,1 year,RNA-Seq,250,1903176750,2017,PRJNA691949,SAMN17309739,Invertebrate,ABC_VIMS_Family_2014_286,738207239,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845500,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DC161,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:15:00Z,1,DC161,SRP301630,mantle,Control
SRR13430571,1 year,RNA-Seq,250,3345719500,2015,PRJNA691949,SAMN17309782,Invertebrate,ABC_VIMS_Family_2014_286,1269719432,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845538,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP99,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:09:00Z,1,DC80,SRP301630,mantle,Fed
SRR13430572,1 year,RNA-Seq,250,3241329500,2015,PRJNA691949,SAMN17309781,Invertebrate,ABC_VIMS_Family_2014_286,1235140944,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845537,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP98,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:09:00Z,1,DC97,SRP301630,mantle,Fed
SRR13430573,1 year,RNA-Seq,250,3416048500,2015,PRJNA691949,SAMN17309780,Invertebrate,ABC_VIMS_Family_2014_286,1291330517,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845536,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP97,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:08:00Z,1,DC91,SRP301630,mantle,Fed
SRR13430574,1 year,RNA-Seq,250,2968912000,2015,PRJNA691949,SAMN17309779,Invertebrate,ABC_VIMS_Family_2014_286,1131979982,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845535,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP96,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:09:00Z,1,DC74,SRP301630,mantle,Fed
SRR13430576,1 year,RNA-Seq,250,3291726500,2015,PRJNA691949,SAMN17309778,Invertebrate,ABC_VIMS_Family_2014_286,1264043193,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845533,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP95,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:09:00Z,1,DC100,SRP301630,mantle,Fed
SRR13430577,1 year,RNA-Seq,250,3247307500,2015,PRJNA691949,SAMN17309777,Invertebrate,ABC_VIMS_Family_2014_286,1247980920,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845532,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP94,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:10:00Z,1,DC85,SRP301630,mantle,Fed
SRR13430578,1 year,RNA-Seq,250,2537295750,2015,PRJNA691949,SAMN17309776,Invertebrate,ABC_VIMS_Family_2014_286,1043953611,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845531,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP93,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:08:00Z,1,DC75,SRP301630,mantle,Fed
SRR13430579,1 year,RNA-Seq,250,2879693250,2015,PRJNA691949,SAMN17309775,Invertebrate,ABC_VIMS_Family_2014_286,1135465876,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845530,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP116,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 5,2021-01-13T19:09:00Z,1,DC158,SRP301630,mantle,Control
SRR13430580,1 year,RNA-Seq,250,2608790250,2015,PRJNA691949,SAMN17309774,Invertebrate,ABC_VIMS_Family_2014_286,972185923,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845529,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP115,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:07:00Z,1,DC150,SRP301630,mantle,Control
SRR13430581,1 year,RNA-Seq,250,2508052750,2015,PRJNA691949,SAMN17309773,Invertebrate,ABC_VIMS_Family_2014_286,965077880,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845528,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP114,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:09:00Z,1,DC134,SRP301630,mantle,Control
SRR13430582,1 year,RNA-Seq,250,2409346750,2015,PRJNA691949,SAMN17309772,Invertebrate,ABC_VIMS_Family_2014_286,939268273,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845527,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP113,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 5,2021-01-13T19:07:00Z,1,DC156,SRP301630,mantle,Control
SRR13430583,1 year,RNA-Seq,250,2587589000,2015,PRJNA691949,SAMN17309771,Invertebrate,ABC_VIMS_Family_2014_286,1041897625,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845526,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP112,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:14:00Z,1,DC139,SRP301630,mantle,Control
SRR13430584,1 year,RNA-Seq,250,2982165250,2015,PRJNA691949,SAMN17309770,Invertebrate,ABC_VIMS_Family_2014_286,1146814593,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845525,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP111,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:17:00Z,1,DC131,SRP301630,mantle,Control
SRR13430585,1 year,RNA-Seq,250,3346752500,2015,PRJNA691949,SAMN17309769,Invertebrate,ABC_VIMS_Family_2014_286,1309575594,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845524,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP110,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 5,2021-01-13T19:16:00Z,1,DC154,SRP301630,mantle,Control
SRR13430587,1 year,RNA-Seq,250,3675339500,2015,PRJNA691949,SAMN17309768,Invertebrate,ABC_VIMS_Family_2014_286,1378215083,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845522,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP109,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 4,2021-01-13T19:14:00Z,1,DC148,SRP301630,mantle,Control
SRR13430588,1 year,RNA-Seq,250,2642022000,2015,PRJNA691949,SAMN17309767,Invertebrate,ABC_VIMS_Family_2014_286,1004765502,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845521,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP108,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:15:00Z,1,DC142,SRP301630,mantle,Control
SRR13430589,1 year,RNA-Seq,250,2663655250,2015,PRJNA691949,SAMN17309766,Invertebrate,ABC_VIMS_Family_2014_286,1018546025,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845520,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP107,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:14:00Z,1,DC149,SRP301630,mantle,Control
SRR13430590,1 year,RNA-Seq,250,2792600250,2015,PRJNA691949,SAMN17309765,Invertebrate,ABC_VIMS_Family_2014_286,1054277844,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845519,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP106,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:15:00Z,1,DC141,SRP301630,mantle,Control
SRR13430591,1 year,RNA-Seq,250,2501440750,2015,PRJNA691949,SAMN17309764,Invertebrate,ABC_VIMS_Family_2014_286,936840254,USDA AGRICULTURAL RESEARCH SERVICE,2015-06-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845518,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP105,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:14:00Z,1,DC132,SRP301630,mantle,Control
SRR13430592,1 year,RNA-Seq,250,2053722000,2015,PRJNA691949,SAMN17309763,Invertebrate,ABC_VIMS_Family_2014_286,785902470,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845517,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP104,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 3,2021-01-13T19:13:00Z,1,DC88,SRP301630,mantle,Fed
SRR13430593,1 year,RNA-Seq,250,2741946750,2015,PRJNA691949,SAMN17309762,Invertebrate,ABC_VIMS_Family_2014_286,1052535146,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845516,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP103,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:14:00Z,1,DC84,SRP301630,mantle,Fed
SRR13430594,1 year,RNA-Seq,250,3230800750,2015,PRJNA691949,SAMN17309761,Invertebrate,ABC_VIMS_Family_2014_286,1208288282,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845515,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP102,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 1,2021-01-13T19:15:00Z,1,DC77,SRP301630,mantle,Fed
SRR13430595,1 year,RNA-Seq,250,3363720250,2015,PRJNA691949,SAMN17309760,Invertebrate,ABC_VIMS_Family_2014_286,1268027222,USDA AGRICULTURAL RESEARCH SERVICE,2015-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9845514,USA,North America,USA:Virginia,not applicable,Illumina HiSeq 2500,not applicable,not applicable,DP101,PAIRED,PolyA,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2022-05-12T00:00:00Z,Biological Replicate 2,2021-01-13T19:17:00Z,1,DC96,SRP301630,mantle,Fed
