Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fasta_file (run),geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,hypnospores_g_1_oyster_wet_tissue,infection,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,tissue
SRR10995886,18 month,RNA-Seq,assembly,95,287425670,PRJNA604121,SAMN13955539,Invertebrate,Eastern Oyster,87992895,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656983,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","25,174.19",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV5,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:48:00Z,1,GV5,SRP246310,Gill
SRR10995887,18 month,RNA-Seq,assembly,95,360488973,PRJNA604121,SAMN13955538,Invertebrate,Eastern Oyster,98843349,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656982,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","13,918.35",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV25,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:48:00Z,1,GV25,SRP246310,Gill
SRR10995888,18 month,RNA-Seq,assembly,91,423873445,PRJNA604121,SAMN13955537,Invertebrate,Eastern Oyster,133271391,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656981,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","9,473.68",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV8,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:48:00Z,1,GV8,SRP246310,Gill
SRR10995889,18 month,RNA-Seq,assembly,93,332752772,PRJNA604121,SAMN13955510,Invertebrate,Eastern Oyster,97579486,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656980,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",44.46,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:47:00Z,1,GL1,SRP246310,Gill
SRR10995890,18 month,RNA-Seq,assembly,95,326392917,PRJNA604121,SAMN13955536,Invertebrate,Eastern Oyster,91511384,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656979,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","5,880.86",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV24,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:48:00Z,1,GV24,SRP246310,Gill
SRR10995891,18 month,RNA-Seq,assembly,91,474963084,PRJNA604121,SAMN13955535,Invertebrate,Eastern Oyster,142376332,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656978,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","1,208.63",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV7,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:48:00Z,1,GV7,SRP246310,Gill
SRR10995892,18 month,RNA-Seq,assembly,95,314102307,PRJNA604121,SAMN13955534,Invertebrate,Eastern Oyster,91009651,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656977,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","1,723.72",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV15,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:47:00Z,1,GV15,SRP246310,Gill
SRR10995893,18 month,RNA-Seq,assembly,93,372827989,PRJNA604121,SAMN13955533,Invertebrate,Eastern Oyster,110804851,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656976,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",704.06,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV18,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_7,2020-01-31T20:48:00Z,1,GV18,SRP246310,Gill
SRR10995894,18 month,RNA-Seq,assembly,95,350929685,PRJNA604121,SAMN13955532,Invertebrate,Eastern Oyster,97260758,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656975,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",284.56,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV12,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_6,2020-01-31T20:47:00Z,1,GV12,SRP246310,Gill
SRR10995895,18 month,RNA-Seq,assembly,93,353809735,PRJNA604121,SAMN13955531,Invertebrate,Eastern Oyster,101377379,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656974,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",165.74,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV22,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_5,2020-01-31T20:49:00Z,1,GV22,SRP246310,Gill
SRR10995896,18 month,RNA-Seq,assembly,91,241638992,PRJNA604121,SAMN13955530,Invertebrate,Eastern Oyster,77890440,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656973,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",151.1,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:47:00Z,1,GV3,SRP246310,Gill
SRR10995897,18 month,RNA-Seq,assembly,95,359301098,PRJNA604121,SAMN13955529,Invertebrate,Eastern Oyster,100624479,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656972,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",63.12,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV14,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:48:00Z,1,GV14,SRP246310,Gill
SRR10995898,18 month,RNA-Seq,assembly,88,305349493,PRJNA604121,SAMN13955528,Invertebrate,Eastern Oyster,103920044,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656971,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",36.31,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV1,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:49:00Z,1,GV1,SRP246310,Gill
SRR10995899,18 month,RNA-Seq,assembly,91,586719273,PRJNA604121,SAMN13955527,Invertebrate,Eastern Oyster,181336149,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656970,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",22.45,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GV21,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:49:00Z,1,GV21,SRP246310,Gill
SRR10995900,18 month,RNA-Seq,assembly,90,302671301,PRJNA604121,SAMN13955509,Invertebrate,Eastern Oyster,92567324,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656969,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle",24.55,A,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL19,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:47:00Z,1,GL19,SRP246310,Gill
SRR10995901,18 month,RNA-Seq,assembly,90,338820235,PRJNA604121,SAMN13955526,Invertebrate,Eastern Oyster,111478113,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656968,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","700,631.58",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL5,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:47:00Z,1,GL5,SRP246310,Gill
SRR10995902,18 month,RNA-Seq,assembly,90,223144572,PRJNA604121,SAMN13955525,Invertebrate,Eastern Oyster,72393000,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656967,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","165,171.05",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL3,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:47:00Z,1,GL3,SRP246310,Gill
SRR10995903,18 month,RNA-Seq,assembly,89,275283112,PRJNA604121,SAMN13955524,Invertebrate,Eastern Oyster,92039645,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656966,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","194,516.47",D,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL21,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:48:00Z,1,GL21,SRP246310,Gill
SRR10995904,18 month,RNA-Seq,assembly,91,322055749,PRJNA604121,SAMN13955523,Invertebrate,Eastern Oyster,100805084,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656965,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","89,174.19",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL18,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:49:00Z,1,GL18,SRP246310,Gill
SRR10995905,18 month,RNA-Seq,assembly,90,304861878,PRJNA604121,SAMN13955522,Invertebrate,Eastern Oyster,96978975,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656964,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","76,176.33",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL11,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:48:00Z,1,GL11,SRP246310,Gill
SRR10995906,18 month,RNA-Seq,assembly,89,323124753,PRJNA604121,SAMN13955521,Invertebrate,Eastern Oyster,100933869,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656963,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","35,149.53",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL8,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_2,2020-01-31T20:48:00Z,1,GL8,SRP246310,Gill
SRR10995907,18 month,RNA-Seq,assembly,91,277184111,PRJNA604121,SAMN13955520,Invertebrate,Eastern Oyster,87286466,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656962,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","18,361.25",C,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL6,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_1,2020-01-31T20:48:00Z,1,GL6,SRP246310,Gill
SRR10995908,18 month,RNA-Seq,assembly,92,388475068,PRJNA604121,SAMN13955519,Invertebrate,Eastern Oyster,115075546,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656961,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","8,765.22",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL10,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_4,2020-01-31T20:48:00Z,1,GL10,SRP246310,Gill
SRR10995909,18 month,RNA-Seq,assembly,89,368436372,PRJNA604121,SAMN13955518,Invertebrate,Eastern Oyster,116824018,LOUISIANA STATE UNIVERSITY,2018-04-24,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7656960,GCF_002022765.2_C_virginica-3.0_genomic.fna,USA,North America,"USA: Louisiana\,Grand Isle","2,565.82",B,Illumina HiSeq 2500,Louisiana SeaGrant Oyster Hatchery Demonstration Farm,29.23897 N 90.00311 W,GL14,SINGLE,RANDOM PCR,TRANSCRIPTOMIC,Crassostrea virginica,ILLUMINA,2020-01-31T00:00:00Z,replicate_3,2020-01-31T20:48:00Z,1,GL14,SRP246310,Gill
