"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX18040004","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040004_SRR22059187_2.fastq.gz","SRR22059187","SRX18040004","SAMN31467934","SRS15546558","PRJNA894694","SRP404734","SRA1528442","21089FL-01-01-01_S21_L002_R1_001.fastq.gz","21089FL-01-01-01","A-15","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-01-01","HiSeq X Ten","ILLUMINA","11383226204","37692802","6565","Crassostrea virginica","Control group: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Control group: biological replicate for family 84","d98106b57793969baf4ee44401fde14f;489a9682b4869300242f3da92811f463","1914235961;1924585140","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/087/SRR22059187/SRR22059187_2.fastq.gz"
"SRX18040005","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_2.fastq.gz","SRR22059186","SRX18040005","SAMN31467935","SRS15546559","PRJNA894694","SRP404734","SRA1528442","21089FL-01-01-02_S22_L002_R1_001.fastq.gz","21089FL-01-01-02","A-136","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-01-02","HiSeq X Ten","ILLUMINA","7181622514","23780207","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 84","85b0cf553111ed3407bca3f8b079dd77;10d322bc26e581a94f606aa734a1b4bf","1113693044;1127882647","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/086/SRR22059186/SRR22059186_2.fastq.gz"
"SRX18040006","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_2.fastq.gz","SRR22059167","SRX18040006","SAMN31467944","SRS15546560","PRJNA894694","SRP404734","SRA1528442","21089FL-01-02-03_S3_L001_R1_001.fastq.gz","21089FL-01-02-03","B-176","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-02-03","HiSeq X Ten","ILLUMINA","8071007078","26725189","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 89","d28e4b8f957aa4bd47ecc49049b2ae40;5418ce3e144bd9228c3b8664f0fed910","1763515637;1987116692","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/067/SRR22059167/SRR22059167_2.fastq.gz"
"SRX18040007","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_2.fastq.gz","SRR22059185","SRX18040007","SAMN31467964","SRS15546561","PRJNA894694","SRP404734","SRA1528442","21089FL-01-04-10_S42_L003_R1_001.fastq.gz","21089FL-01-04-10","I-190","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-04-10","HiSeq X Ten","ILLUMINA","16226343428","53729614","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 120","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 120","f231a346af108fa53de8c44beb1a7b47;ce01700509feec3e425f47507f7d5dcf","3679528483;4038737405","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/085/SRR22059185/SRR22059185_2.fastq.gz"
"SRX18040008","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_2.fastq.gz","SRR22059184","SRX18040008","SAMN31467965","SRS15546562","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-01_S45_L004_R1_001.fastq.gz","21089FL-01-05-01","A-142","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-01","HiSeq X Ten","ILLUMINA","11147327058","36911679","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 84","6bd88509a9b17b795c568f15e6f6f247;4d753487fc54f7d99f1443071499d1c6","1822018157;1839291704","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/084/SRR22059184/SRR22059184_2.fastq.gz"
"SRX18040009","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_2.fastq.gz","SRR22059183","SRX18040009","SAMN31467966","SRS15546564","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-02_S46_L004_R1_001.fastq.gz","21089FL-01-05-02","A-192","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-02","HiSeq X Ten","ILLUMINA","17371054194","57520047","6565","Crassostrea virginica","Dose 1x10^8: biological replicate for family 84","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^8: biological replicate for family 84","0f10829f4967fac25a4254ea06e2042c;cbf30a8f4d53ee532227ff321a250f4e","2878383132;2900230889","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/083/SRR22059183/SRR22059183_2.fastq.gz"
"SRX18040010","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040010_SRR22059182_2.fastq.gz","SRR22059182","SRX18040010","SAMN31467967","SRS15546563","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-03_S47_L004_R1_001.fastq.gz","21089FL-01-05-03","B-20","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-03","HiSeq X Ten","ILLUMINA","20380127834","67483867","6565","Crassostrea virginica","Control group: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Control group: biological replicate for family 89","583619c5a5aefd2998c7b263c740a475;8ed96fb26a900c281b52024b5e228aa8","4658614505;5065454359","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/082/SRR22059182/SRR22059182_2.fastq.gz"
"SRX18040011","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_2.fastq.gz","SRR22059181","SRX18040011","SAMN31467968","SRS15546565","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-04_S48_L004_R1_001.fastq.gz","21089FL-01-05-04","B-94","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-04","HiSeq X Ten","ILLUMINA","10073869266","33357183","6565","Crassostrea virginica","Dose 1x10^6: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^6: biological replicate for family 89","6863bdaa4266a4f25a33723111646d35;70de2ce59f4df7c5b07019f21e0f9d59","2188671170;2371296703","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/081/SRR22059181/SRR22059181_2.fastq.gz"
"SRX18040012","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_2.fastq.gz","SRR22059180","SRX18040012","SAMN31467969","SRS15546566","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-05_S49_L004_R1_001.fastq.gz","21089FL-01-05-05","B-188","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-05","HiSeq X Ten","ILLUMINA","9437143942","31248821","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 89","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 89","0c02513d3d7be65ddb695c7158cb0c3f;95be5dc669448e8982e04686b7df1ac0","1520417635;1532699325","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/080/SRR22059180/SRR22059180_2.fastq.gz"
"SRX18040013","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_2.fastq.gz","SRR22059179","SRX18040013","SAMN31467970","SRS15546567","PRJNA894694","SRP404734","SRA1528442","21089FL-01-05-06_S50_L004_R1_001.fastq.gz","21089FL-01-05-06","C-162","PRJNA894694","PAIRED","PolyA","TRANSCRIPTOMIC","RNA-Seq","21089FL-01-05-06","HiSeq X Ten","ILLUMINA","13559969120","44900560","6565","Crassostrea virginica","Dose 1x10^7: biological replicate for family 90","HiSeq X Ten sequencing: RNA-Seq of Crassostrea virginica: mantle tissue","Understanding Crassostrea virginica tolerance of Perkinsus marinus through global gene expression analysis","Dose 1x10^7: biological replicate for family 90","9617997b0659f799ea4fc0955109d883;c113b149066da598d7bac6bfdb700cbd","3045060954;3332924575","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR220/079/SRR22059179/SRR22059179_2.fastq.gz"
